https://i.imgur.com/xihEeIy.jpg,https://i.imgur.com/hUvA3LP.jpg,https://i.imgur.com/ZQXaVOh.jpg,https://i.imgur.com/WBEgz84.jpg
今天莫名其妙跑去找他哀居，,雖然原因是因為好像是看到他跟某個女生很好，,我也不知道為什麼他沒有睡，,我每天都不想那麼快回家，
珍愛藻礁公投連署領銜人潘忠政的臉書帳號成為已限制帳號，,臉書已限制潘忠政帳號部分功能。,該內容違反Facebook『社群守則』而遭刪除，,臉書今天回應，
了解校內學生對性別友善設施的需求及看法，,作為校內推動性別友善設施之參考依據。,及性別友善設施相關議題有興趣的嘉藥師生，,各級學校應考量學生及教職人員之不同性別、性別認同等，
男性其實也是很大的受害者而不自知，,使得男性被迫承擔更多不合理的責任、壓力以及剝奪了表達情感的能力，,不知道日常生活中的大家能否看到一些潛在的性別歧視呢？,"希望能給些意見也小小順便徵個有沒有人想要一起討論看看"
大咖的政客和新聞臺則是裡頭常常諷刺的對象,劇中除了警察劇有的懸疑推理之外，,劇中也會諷刺許多人的醜陋面,而且劇組每集的開頭都有小彩蛋
女性-2.,狡詐-醜化女性,非人形女性-醜化女性,穿著暴露-物化女性
就只是不懂在D卡上問問題就被一群男生罵來罵去的⋯,為啥有些男生那麼的仇視女生呢？,難到男生問的就不會被嘴幹了嗎😒,真的是無言到不行⋯
我媽說：房子沒有在留給女生的,我從小就因為家庭體會到身為一個女生的「不公平」，,我媽就說反正我男友爸媽一定把房子留給他,哪間房子是哥哥的哪間是弟弟的
https://i.imgur.com/iKfJgN7.jpg,https://www.instagram.com/bha.movie.drama/,【#大頭安迪嗑影集】,結果最後一集還是在釣胃口啊！
他單純的擁抱拯救了我近期充滿對男性失望的心,這時候我會想到：我聽說男性的生理需求很顯著，,無法好好感受彼此內心,可以真切的相信且感受到愛
避開女人依然是父權迫害,對婦女的暴力行為是歷史上男女權力不平等關係的一種表現，,此種不平等關係造成了男子對婦女的支配地位和歧視現象，,還認識到對婦女的暴力行為是嚴酷的社會機制之一，
https://www.bbc.com/news/world-us-canada-45565684,https://time.com/5534599/jussie-smollett-staged-hate-attack/,https://www.rollingstone.com/culture/culture-news/ellen-page-hate-crimes-jussie-smollett-800772/,https://www.chinatimes.com/realtimenews/20210206001261-260404
至少我聽過有這樣案例的都會被說成台灣之光、大外宣啦,但如果是台灣男生跟白人女性或東北亞女性閃婚是不是畫風又不一樣了？,看到這篇文章底下的留言很大部分都是ㄈㄈ尺台女不EY,先說我覺得不管什麼國籍什麼顏色的人閃婚風險都是有的啦
https://i.imgur.com/wRb5hdk.jpg,https://i.imgur.com/jqxYgIS.jpg,https://i.imgur.com/OHJooxG.jpg,https://i.imgur.com/K793g6N.jpg
男生的身體」,「女生就是男生的頭髮，,其他人都是撒旦,女生不能穿運動鞋，
1-B.男生跟50個不同女生床戰經驗,1-A.女生跟50個不同男生床戰經驗,但是希望可以更客觀想聽看看男女雙方對於性觀念到底雙方容忍的程度到哪裡,讓消費者進去用餐時剛好跟服務生對眼一起放飛自我
嘲笑諷刺其他女星平胸(我可以別人不行)、批評他人寫真、還到處得意有很多男人想摸我、在節目上完全不尊重同台女星(扮鬼臉、摳鼻孔、打哈欠)、在嚴肅場合穿爆乳裝、嗆不賺中國人的錢結果跑去大陸工作、甚至公開她人被拍性愛影片幾乎導致被害人想自殺、要求不要捐錢給國內紅十字會，,我現在講的是社會常態就是一堆女生躲在父權這個名義背後霸凌男性,性騷擾要成立的確需要被害人主觀認為，,你各位認為我遇到的是不是日常中你們會看到的?
https://i.imgur.com/X4p2puU.jpg,https://i.imgur.com/P600nwS.jpg,https://i.imgur.com/NnJsp27.jpg,我們在點餐等入座的時候，
我這輩子還沒聽說過呢,卻是這副德性,平常要是有這麼帥就好了,這種要求
近期公共政策參與平台曾有民眾提出「民間建議女性志願役退伍也須納入後備部隊接受召訓」的建議，,女性士兵退伍前可「志願」選填否接受後備召集，,目前沒有女性後備軍人曾接受教召，,將女性官士兵在退伍之後，
但總統辦公室一概聲稱總統只是開玩笑，,身為政治人物本來就該對性平更敏感,那麼女性社會地位永遠不及男性也是很正常,菲律賓史上出過2名女性總統，
完全無視女性懷孕的辛苦，,還真是希望身為大學生的大家不要再把這種迂腐想法傳遞下去了😡😡😡,建議懷孕婦女需要在產前事先為家人準備好乾淨衣物，,更強調女性生產後需要積極「做家事減重」，
那麼女性在感受到可能被男性侵犯時，,他們一面歧視著離異女性，,一面复讀著”生孩子警告“嘲諷那些要求彌補自己生育損失的年輕女性。,卻又一面責怪女性面對可能的性騷擾反應過激。
https://www.youtube.com/watch?,https://www.qollie.com/companies/5860c63e9c3c0b7ce2f33263,https://i.imgur.com/jbbF3th.jpg,https://web.bola.taipei/bolasearch/chhtml/page/18
而且交友軟體為什麼女生一定要匹配給男生？,被約到惱怒🙄️我只是想要好好的認識朋友，,但是看到的女生不是變態就是噁心！,健康一點的，
然後打了幾球後也忘記對方是女生,碰到一位我認為實力還不錯的女生,就算不能攔女生，,不能攔女生
我覺得雞蛋糕冷了一定不好吃就沒買。,之前經過都是烤好裝在袋子裡等客人，,因為已經過馬路懶得再回去跟黑心老闆吵架或叫他重烤，,一咬下去居然中間麵漿是生的沒熟，
菲總統杜特蒂２６日再以終止ＶＦＡ威脅美國提供兩千萬劑疫苗；德國外長馬斯也對３０日中歐投資協定簽署及歐俄天然氣管北溪二號即將完工表示歐主權應高於美意願；雖非歐盟成員卻是關稅同盟及北約一員的土耳其２９日則同越南與英國簽署ＦＴＡ，,英國供五年半過渡期允歐盟入英海捕魚且對歐貿易在公平商務競爭及收回不合法國家補助條件下免關稅配額限制但仍需報關；３０日簽署的中歐投資協定則一度遭蘇利文關切遇阻，,１５日被迫撤修憲委員會法修法並遭控貪腐專斷的奧利２０日向總統班達里提議解散眾院躲不信任案，,台日企遭暴力攻擊；１２日緯創在印度卡納塔卡省工廠也因委託的勞務公司延遲發薪被兩千名員工砸廠。
///////由上兩則新聞可得知母子都是說謊否認為先，,隨後才坦承是「遠房親戚」。,期待在家人的支持下,當然做柯媽當柯文哲被議員監督一樣會跑來擋槍
等待第二季,等待第二季,但第一季的結尾好像就跟電影結尾差不多了,等待第三季
https://www.ettoday.net/news/20201226/1884981.htm?,https://i.imgur.com/tWG9f2a.png,https://i.imgur.com/dZDlnmY.png,from=ettoday_app
那沒被我同等對待的通通都被我歧視了嗎？,我不知道這哪裡歧視了,我就是希望能力不如人的女生,我女朋友不知道再不爽什麼
臉書的這篇下面留言也都超難聽==這文章我看了很不爽是我的問題嗎？,下面留言台女台女的叫真的讓人很不悅，,尤其一堆帶有性別歧視的文章，,剛剛又看到這篇文章，
更大的感覺是被羞辱、被背叛的那種可怕的感覺，,每天多幾個小時在忙事情、到處面對衝擊和不友善的眼光，,我甚至懷疑我到底在這個彩虹社群裡面努力些甚麼？,明明看著男同片卻硬要說自己想找女朋友（
；懷疑自我價值（,也因為這樣讓人覺得過於嘲諷，,最吸引人的地方，,但是台灣人就不是探討工作效率高低與否了，
我本來想說大公司面試經驗應該會好一點,我想來說說我之前回台灣找工作的經驗,「我們這個工作不能懷孕喔，,只是真心覺得這個面試經驗太恐怖，
請問洗碗、洗備菜這些事情就是女生該做的嗎？,這篇文根本充滿性別歧視,,https://i.imgur.com/vdbHYJl.jpg
之前還有個男孩版，,現在男孩版也不見了，,還有什麼版是女生不能留言的？,試求迪卡除了校版之外，
